constituency,district
Ahmednagar City,Ahmednagar
Akole,Ahmednagar
Karjat Jamkhed,Ahmednagar
Kopargaon,Ahmednagar
Nevasa,Ahmednagar
Parner,Ahmednagar
Rahuri,Ahmednagar
Sangmner,Ahmednagar
Shevgaon,Ahmednagar
Shirdi,Ahmednagar
Shrigonda,Ahmednagar
Shrirampur,Ahmednagar
Aakola West,Akola
Akola East,Akola
Akot,Akola
Balapur,Akola
Murtizapur,Akola
Achalpur,Amaravati
Amrawati,Amaravati
Badnera,Amaravati
Daryapur,Amaravati
Dhamangaon Railway,Amaravati
Melghat,Amaravati
Morshi,Amaravati
Teosa,Amaravati
Aurangabad,Aurangabad
Aurangbad,Aurangabad
Gangapur,Aurangabad
Kannad,Aurangabad
Paithan,Aurangabad
Pholambari,Aurangabad
Sillod,Aurangabad
Vaijapur,Aurangabad
Ashti,Beed
Beed,Beed
Georai,Beed
Kaij,Beed
Majalgaon,Beed
Parli,Beed
Bhandara,Bhandara
Sakoli,Bhandara
Tumsar,Bhandara
Buldhana,Buldhana
Chikhli,Buldhana
Jalgaon,Buldhana
Khamgaon,Buldhana
Malkapur,Buldhana
Mehkar,Buldhana
Sindhkhed Raja,Buldhana
Ballarpur,Chandrapur
Bramhapuri,Chandrapur
Chandrapur,Chandrapur
Chimur,Chandrapur
Rajura,Chandrapur
Warora,Chandrapur
Dhule City,Dhule
Dhule Rural,Dhule
Sakri,Dhule
Shirpur,Dhule
Sindhkheda,Dhule
Aheri,Gadchiroli
Armori,Gadchiroli
Gadchiroli,Gadchiroli
Amgaon,Gondiya
Arjuni Morgaon (sc),Gondiya
Gondia,Gondiya
Tirora,Gondiya
Basmath,Hingoli
Hingoli,Hingoli
Kalamnuri,Hingoli
Amalner,Jalgaon
Bhusawal,Jalgaon
Chalisgaon,Jalgaon
Chopda,Jalgaon
Erandol,Jalgaon
Jalgaon City,Jalgaon
Jalgaon Rural,Jalgaon
Jamner,Jalgaon
Muktainagar,Jalgaon
Pachora,Jalgaon
Raver,Jalgaon
