id,name,validFrom,validThrough
ocd-division/country:de/ed:flensburg_-_schleswig,Flensburg – Schleswig,,
ocd-division/country:de/ed:nordfriesland_-_dithmarschen_nord,Nordfriesland – Dithmarschen Nord,,
ocd-division/country:de/ed:steinburg_-_dithmarschen_süd,Steinburg – Dithmarschen Süd,,
ocd-division/country:de/ed:rendsburg-eckernförde,Rendsburg-Eckernförde,,
ocd-division/country:de/ed:kiel,Kiel,,
ocd-division/country:de/ed:plön_-_neumünster,Plön – Neumünster,,
ocd-division/country:de/ed:pinneberg,Pinneberg,,
ocd-division/country:de/ed:segeberg_-_stormarn-mitte,Segeberg – Stormarn-Mitte,,
ocd-division/country:de/ed:ostholstein_-_stormarn-nord,Ostholstein – Stormarn-Nord,,
ocd-division/country:de/ed:herzogtum_lauenburg_-_stormarn-süd,Herzogtum Lauenburg – Stormarn-Süd,,
ocd-division/country:de/ed:lübeck,Lübeck,,
ocd-division/country:de/ed:schwerin_-_ludwigslust-parchim_i_-_nordwestmecklenburg_i,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,,
ocd-division/country:de/ed:ludwigslust-parchim_ii_-_nordwestmecklenburg_ii_-_landkreis_rostock_i,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,,
ocd-division/country:de/ed:rostock_-_landkreis_rostock_ii,Rostock – Landkreis Rostock II,,
ocd-division/country:de/ed:vorpommern-rügen_-_vorpommern-greifswald_i,Vorpommern-Rügen – Vorpommern-Greifswald I,,
ocd-division/country:de/ed:mecklenburgische_seenplatte_i_-_vorpommern-greifswald_ii,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,,
ocd-division/country:de/ed:mecklenburgische_seenplatte_ii_-_landkreis_rostock_iii,Mecklenburgische Seenplatte II – Landkreis Rostock III,,
ocd-division/country:de/ed:hamburg-mitte,Hamburg-Mitte,,
ocd-division/country:de/ed:hamburg-altona,Hamburg-Altona,,
ocd-division/country:de/ed:hamburg-eimsbüttel,Hamburg-Eimsbüttel,,
ocd-division/country:de/ed:hamburg-nord,Hamburg-Nord,,
ocd-division/country:de/ed:hamburg-wandsbek,Hamburg-Wandsbek,,
ocd-division/country:de/ed:hamburg-bergedorf_-_harburg,Hamburg-Bergedorf – Harburg,,
ocd-division/country:de/ed:aurich_-_emden,Aurich – Emden,,
ocd-division/country:de/ed:unterems,Unterems,,
ocd-division/country:de/ed:friesland_-_wilhelmshaven_-_wittmund,Friesland – Wilhelmshaven – Wittmund,,
ocd-division/country:de/ed:oldenburg_-_ammerland,Oldenburg – Ammerland,,
ocd-division/country:de/ed:delmenhorst_-_wesermarsch_-_oldenburg-land,Delmenhorst – Wesermarsch – Oldenburg-Land,,
ocd-division/country:de/ed:cuxhaven_-_stade_ii,Cuxhaven – Stade II,,
ocd-division/country:de/ed:stade_i_-_rotenburg_ii,Stade I – Rotenburg II,,
ocd-division/country:de/ed:mittelems,Mittelems,,
ocd-division/country:de/ed:cloppenburg_-_vechta,Cloppenburg – Vechta,,
ocd-division/country:de/ed:diepholz_-_nienburg_i,Diepholz – Nienburg I,,
ocd-division/country:de/ed:osterholz_-_verden,Osterholz – Verden,,
ocd-division/country:de/ed:rotenburg_i_-_heidekreis,Rotenburg I – Heidekreis,,
ocd-division/country:de/ed:harburg,Harburg,,
ocd-division/country:de/ed:lüchow-dannenberg_-_lüneburg,Lüchow-Dannenberg – Lüneburg,,
ocd-division/country:de/ed:osnabrück-land,Osnabrück-Land,,
ocd-division/country:de/ed:stadt_osnabrück,Stadt Osnabrück,,
ocd-division/country:de/ed:nienburg_ii_-_schaumburg,Nienburg II – Schaumburg,,
ocd-division/country:de/ed:stadt_hannover_i,Stadt Hannover I,,
ocd-division/country:de/ed:stadt_hannover_ii,Stadt Hannover II,,
ocd-division/country:de/ed:hannover-land_i,Hannover-Land I,,
ocd-division/country:de/ed:celle_-_uelzen,Celle – Uelzen,,
ocd-division/country:de/ed:gifhorn_-_peine,Gifhorn – Peine,,
ocd-division/country:de/ed:hameln-pyrmont_-_holzminden,Hameln-Pyrmont – Holzminden,,
ocd-division/country:de/ed:hannover-land_ii,Hannover-Land II,,
ocd-division/country:de/ed:hildesheim,Hildesheim,,
ocd-division/country:de/ed:salzgitter_-_wolfenbüttel,Salzgitter – Wolfenbüttel,,
ocd-division/country:de/ed:braunschweig,Braunschweig,,
ocd-division/country:de/ed:helmstedt_-_wolfsburg,Helmstedt – Wolfsburg,,
ocd-division/country:de/ed:goslar_-_northeim_-_osterode,Goslar – Northeim – Osterode,,
ocd-division/country:de/ed:göttingen,Göttingen,,
ocd-division/country:de/ed:bremen_i,Bremen I,,
ocd-division/country:de/ed:bremen_ii_-_bremerhaven,Bremen II – Bremerhaven,,
ocd-division/country:de/ed:prignitz_-_ostprignitz-ruppin_-_havelland_i,Prignitz – Ostprignitz-Ruppin – Havelland I,,
ocd-division/country:de/ed:uckermark_-_barnim_i,Uckermark – Barnim I,,
ocd-division/country:de/ed:oberhavel_-_havelland_ii,Oberhavel – Havelland II,,
ocd-division/country:de/ed:märkisch-oderland_-_barnim_ii,Märkisch-Oderland – Barnim II,,
ocd-division/country:de/ed:brandenburg_an_der_havel_-_potsdam-mittelmark_i_-_havelland_iii_-_teltow-fläming_i,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,,
ocd-division/country:de/ed:potsdam_-_potsdam-mittelmark_ii_-_teltow-fläming_ii,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,,
ocd-division/country:de/ed:62,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,,2025-02-23
ocd-division/country:de/ed:dahme-spreewald_-_teltow-fläming_iii,Dahme-Spreewald – Teltow-Fläming III,2025-02-23,
ocd-division/country:de/ed:frankfurt_~oder~_-_oder-spree,Frankfurt (Oder) – Oder-Spree,,
ocd-division/country:de/ed:cottbus_-_spree-neiße,Cottbus – Spree-Neiße,,
ocd-division/country:de/ed:65,Elbe-Elster – Oberspreewald-Lausitz II,,2025-02-23
ocd-division/country:de/ed:elbe-elster_-_oberspreewald-lausitz,Elbe-Elster – Oberspreewald-Lausitz,2025-02-23,
ocd-division/country:de/ed:66,Altmark,,2025-02-23
ocd-division/country:de/ed:altmark_-_jerichower_land,Altmark – Jerichower Land,2025-02-23,
ocd-division/country:de/ed:67,Börde – Jerichower Land,,2025-02-23
ocd-division/country:de/ed:börde_-_salzlandkreis,Börde – Salzlandkreis,2025-02-23,
ocd-division/country:de/ed:harz,Harz,,
ocd-division/country:de/ed:magdeburg,Magdeburg,,
ocd-division/country:de/ed:70,Dessau – Wittenberg,,2025-02-23
ocd-division/country:de/ed:anhalt_-_dessau_-_wittenberg,Anhalt – Dessau – Wittenberg,2025-02-23,
ocd-division/country:de/ed:71,Anhalt,,2025-02-23
ocd-division/country:de/ed:halle,Halle,,
ocd-division/country:de/ed:burgenland_-_saalekreis,Burgenland – Saalekreis,,
ocd-division/country:de/ed:mansfeld,Mansfeld,,
ocd-division/country:de/ed:berlin-mitte,Berlin-Mitte,,
ocd-division/country:de/ed:berlin-pankow,Berlin-Pankow,,
ocd-division/country:de/ed:berlin-reinickendorf,Berlin-Reinickendorf,,
ocd-division/country:de/ed:berlin-spandau_-_charlottenburg_nord,Berlin-Spandau – Charlottenburg Nord,,
ocd-division/country:de/ed:berlin-steglitz-zehlendorf,Berlin-Steglitz-Zehlendorf,,
ocd-division/country:de/ed:berlin-charlottenburg-wilmersdorf,Berlin-Charlottenburg-Wilmersdorf,,
ocd-division/country:de/ed:berlin-tempelhof-schöneberg,Berlin-Tempelhof-Schöneberg,,
ocd-division/country:de/ed:berlin-neukölln,Berlin-Neukölln,,
ocd-division/country:de/ed:berlin-friedrichshain-kreuzberg_-_prenzlauer_berg_ost,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,,
ocd-division/country:de/ed:berlin-treptow-köpenick,Berlin-Treptow-Köpenick,,
ocd-division/country:de/ed:berlin-marzahn-hellersdorf,Berlin-Marzahn-Hellersdorf,,
ocd-division/country:de/ed:berlin-lichtenberg,Berlin-Lichtenberg,,
ocd-division/country:de/ed:aachen_i,Aachen I,,
ocd-division/country:de/ed:aachen_ii,Aachen II,,
ocd-division/country:de/ed:heinsberg,Heinsberg,,
ocd-division/country:de/ed:düren,Düren,,
ocd-division/country:de/ed:rhein-erft-kreis_i,Rhein-Erft-Kreis I,,
ocd-division/country:de/ed:euskirchen_-_rhein-erft-kreis_ii,Euskirchen – Rhein-Erft-Kreis II,,
ocd-division/country:de/ed:köln_i,Köln I,,
ocd-division/country:de/ed:köln_ii,Köln II,,
ocd-division/country:de/ed:köln_iii,Köln III,,
ocd-division/country:de/ed:bonn,Bonn,,
ocd-division/country:de/ed:rhein-sieg-kreis_i,Rhein-Sieg-Kreis I,,
ocd-division/country:de/ed:rhein-sieg-kreis_ii,Rhein-Sieg-Kreis II,,
ocd-division/country:de/ed:oberbergischer_kreis,Oberbergischer Kreis,,
ocd-division/country:de/ed:rheinisch-bergischer_kreis,Rheinisch-Bergischer Kreis,,
ocd-division/country:de/ed:leverkusen_-_köln_iv,Leverkusen – Köln IV,,
ocd-division/country:de/ed:wuppertal_i,Wuppertal I,,
ocd-division/country:de/ed:solingen_-_remscheid_-_wuppertal_ii,Solingen – Remscheid – Wuppertal II,,
ocd-division/country:de/ed:mettmann_i,Mettmann I,,
ocd-division/country:de/ed:mettmann_ii,Mettmann II,,
ocd-division/country:de/ed:düsseldorf_i,Düsseldorf I,,
ocd-division/country:de/ed:düsseldorf_ii,Düsseldorf II,,
ocd-division/country:de/ed:neuss_i,Neuss I,,
ocd-division/country:de/ed:mönchengladbach,Mönchengladbach,,
ocd-division/country:de/ed:krefeld_i_-_neuss_ii,Krefeld I – Neuss II,,
ocd-division/country:de/ed:viersen,Viersen,,
ocd-division/country:de/ed:kleve,Kleve,,
ocd-division/country:de/ed:wesel_i,Wesel I,,
ocd-division/country:de/ed:krefeld_ii_-_wesel_ii,Krefeld II – Wesel II,,
ocd-division/country:de/ed:duisburg_i,Duisburg I,,
