id,url
ocd-division/country:ca/csd:1001149,http://www.ferryland.com
ocd-division/country:ca/csd:1001263,http://www.longharbour.net
ocd-division/country:ca/csd:1001270,http://www.townofarnoldscove.com
ocd-division/country:ca/csd:1001274,http://www.townofcomebychance.ca
ocd-division/country:ca/csd:1001325,http://www.heartscontent.ca
ocd-division/country:ca/csd:1001370,http://www.carbonear.ca
ocd-division/country:ca/csd:1001379,http://www.hrgrace.ca
ocd-division/country:ca/csd:1001409,http://www.bayroberts.com
ocd-division/country:ca/csd:1001469,http://townofhmcclv.com
ocd-division/country:ca/csd:1001472,http://www.holyrood.ca
ocd-division/country:ca/csd:1001485,http://www.conceptionbaysouth.ca
ocd-division/country:ca/csd:1001494,http://www.bellisland.net
ocd-division/country:ca/csd:1001504,http://www.pcsp.ca
ocd-division/country:ca/csd:1001507,http://www.townofflatrock.com
ocd-division/country:ca/csd:1001509,http://torbay.ca
ocd-division/country:ca/csd:1001517,http://www.townofparadise.ca
ocd-division/country:ca/csd:1001519,http://www.stjohns.ca
ocd-division/country:ca/csd:1001542,http://www.mountpearl.ca
ocd-division/country:ca/csd:1001559,http://www.townofwitlessbay.com
ocd-division/country:ca/csd:1002005,http://www.townofburin.com
ocd-division/country:ca/csd:1002008,http://www.discoverstlawrence.com
ocd-division/country:ca/csd:1002011,http://www.townoflawn.com
ocd-division/country:ca/csd:1002019,http://www.townofgrandbank.com
ocd-division/country:ca/csd:1002024,http://www.townofmarystown.com
ocd-division/country:ca/csd:1003002,http://www.rencontreeast.com
ocd-division/country:ca/csd:1003026,http://www.ramea.ca
ocd-division/country:ca/csd:1003034,http://www.portauxbasques.ca
ocd-division/country:ca/csd:1004013,http://www.townofstgeorges.com
ocd-division/country:ca/csd:1004018,http://www.townofstephenvillecrossing.com
ocd-division/country:ca/csd:1004019,http://www.townofstephenville.com
ocd-division/country:ca/csd:1005004,http://www.town.deerlake.nf.ca
ocd-division/country:ca/csd:1005009,http://www.reidville-nl.ca
