USPS	GEOID	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                        
GA	13145	State House District 145	860257059	40690583	     332.147	      15.711	 33.136857	 -83.286963                                                                                                   
GA	13146	State House District 146	210923674	2594493	      81.438	       1.002	 32.493008	 -83.716987                                                                                                    
GA	13147	State House District 147	117380083	1986820	      45.321	       0.767	 32.611338	 -83.625782                                                                                                    
GA	13148	State House District 148	2898836893	44173471	    1119.247	      17.055	 32.089522	 -83.568652                                                                                                  
GA	13149	State House District 149	3738957664	55320906	    1443.620	      21.360	 32.081274	 -82.969633                                                                                                  
GA	13150	State House District 150	2520828733	36427487	     973.297	      14.065	 32.504994	 -82.769437                                                                                                  
GA	13151	State House District 151	6845241387	127922000	    2642.963	      49.391	 31.721763	 -84.752728                                                                                                 
GA	13152	State House District 152	2900604309	42400508	    1119.930	      16.371	 31.693379	 -83.993737                                                                                                  
GA	13153	State House District 153	213025646	7699039	      82.250	       2.973	 31.579009	 -84.089816                                                                                                    
GA	13154	State House District 154	2678498024	83955012	    1034.174	      32.415	 31.218877	 -84.595749                                                                                                  
GA	13155	State House District 155	3151958686	71218733	    1216.978	      27.498	 31.659494	 -83.318882                                                                                                  
GA	13156	State House District 156	2494822156	46663339	     963.256	      18.017	 32.027578	 -82.387555                                                                                                  
GA	13157	State House District 157	2087810781	44496483	     806.108	      17.180	 32.004971	 -81.993049                                                                                                  
GA	13158	State House District 158	3588566416	62351270	    1385.553	      24.074	 32.606784	 -82.154499                                                                                                  
GA	13159	State House District 159	2910904941	46032352	    1123.907	      17.773	 32.622903	 -81.557711                                                                                                  
GA	13160	State House District 160	1469415271	25491047	     567.344	       9.842	 32.285925	 -81.662068                                                                                                  
GA	13161	State House District 161	522474930	13646024	     201.729	       5.269	 32.212724	 -81.236900                                                                                                   
GA	13162	State House District 162	129107708	9681116	      49.849	       3.738	 32.052761	 -81.180273                                                                                                    
GA	13163	State House District 163	46740767	854426	      18.047	       0.330	 32.043851	 -81.114648                                                                                                      
GA	13164	State House District 164	1248008587	80583031	     481.859	      31.113	 31.988828	 -81.490418                                                                                                  
GA	13165	State House District 165	90673268	15528365	      35.009	       5.996	 32.025091	 -81.059005                                                                                                    
GA	13166	State House District 166	602653939	509285348	     232.686	     196.636	 31.887295	 -81.028155                                                                                                  
GA	13167	State House District 167	2714065649	421410932	    1047.907	     162.708	 31.537404	 -81.540398                                                                                                 
GA	13168	State House District 168	835940141	245197345	     322.758	      94.671	 31.732586	 -81.376806                                                                                                  
GA	13169	State House District 169	2107746395	132213584	     813.805	      51.048	 31.562836	 -82.657572                                                                                                 
GA	13170	State House District 170	1875854860	35224019	     724.272	      13.600	 31.240690	 -83.296126                                                                                                  
GA	13171	State House District 171	2571122269	26890605	     992.716	      10.383	 31.154582	 -84.221683                                                                                                  
GA	13172	State House District 172	1458432237	35478161	     563.104	      13.698	 31.156093	 -83.740555                                                                                                  
GA	13173	State House District 173	2432976005	77295397	     939.377	      29.844	 30.830284	 -84.333287                                                                                                  
GA	13174	State House District 174	5961892419	146123395	    2301.900	      56.419	 30.813132	 -82.590858                                                                                                 
GA	13175	State House District 175	2211468683	27592675	     853.853	      10.654	 30.839814	 -83.626529                                                                                                  
GA	13176	State House District 176	2431504691	64221534	     938.809	      24.796	 31.196065	 -82.861218                                                                                                  
GA	13177	State House District 177	188078774	3657722	      72.618	       1.412	 30.844034	 -83.248791                                                                                                    
GA	13178	State House District 178	3793983016	90387361	    1464.865	      34.899	 31.438740	 -82.048728                                                                                                  
GA	13179	State House District 179	508774174	403782889	     196.439	     155.901	 31.156414	 -81.455821                                                                                                  
GA	13180	State House District 180	2805498326	443813899	    1083.209	     171.358	 30.960149	 -81.904328                                                                                                 
HI	15001	State House District 1	2185618576	551934565	     843.872	     213.103	 19.899370	-155.367930                                                                                                   
HI	15002	State House District 2	50778415	47122016	      19.606	      18.194	 19.726161	-155.040219                                                                                                      
HI	15003	State House District 3	1847340544	76618716	     713.262	      29.583	 19.432065	-155.318105                                                                                                    
HI	15004	State House District 4	930448586	642235181	     359.248	     247.968	 19.426842	-155.089598                                                                                                    
HI	15005	State House District 5	3136012802	708937842	    1210.821	     273.722	 19.364771	-155.725092                                                                                                   
HI	15006	State House District 6	224347620	261643749	      86.621	     101.021	 19.757283	-156.001221                                                                                                    
HI	15007	State House District 7	2059003852	450978747	     794.986	     174.124	 19.940382	-155.776303                                                                                                   
HI	15008	State House District 8	130328462	121409790	      50.320	      46.877	 20.967636	-156.531750                                                                                                    
HI	15009	State House District 9	55641210	4422157	      21.483	       1.707	 20.867830	-156.444014                                                                                                       
HI	15010	State House District 10	332280470	379157060	     128.294	     146.393	 20.882088	-156.610168                                                                                                   
HI	15011	State House District 11	91828267	61614422	      35.455	      23.789	 20.708072	-156.445801                                                                                                     
HI	15012	State House District 12	618819102	220963199	     238.927	      85.314	 20.713504	-156.337249                                                                                                   
HI	15013	State House District 13	1810486592	2521519614	     699.033	     973.564	 21.077627	-156.999323                                                                                                 
HI	15014	State House District 14	479682716	376474603	     185.207	     145.358	 22.171279	-159.432399                                                                                                   
HI	15015	State House District 15	262160069	111743014	     101.221	      43.144	 21.988262	-159.388057                                                                                                   
HI	15016	State House District 16	863835541	1185958784	     333.529	     457.901	 22.075704	-159.657748                                                                                                  
HI	15017	State House District 17	25079572	88924258	       9.683	      34.334	 21.285513	-157.671982                                                                                                     
HI	15018	State House District 18	34128809	27646070	      13.177	      10.674	 21.277626	-157.751214                                                                                                     
HI	15019	State House District 19	11191401	46708595	       4.321	      18.034	 21.255425	-157.807208                                                                                                     
HI	15020	State House District 20	15263384	0	       5.893	       0.000	 21.306875	-157.786840                                                                                                            
HI	15021	State House District 21	2806249	103629	       1.083	       0.040	 21.279920	-157.818950                                                                                                        
HI	15022	State House District 22	2985750	34823688	       1.153	      13.446	 21.272160	-157.822286                                                                                                      
HI	15023	State House District 23	14672821	0	       5.665	       0.000	 21.319230	-157.804349                                                                                                            
HI	15024	State House District 24	8247384	0	       3.184	       0.000	 21.317444	-157.824825                                                                                                             
HI	15025	State House District 25	13720137	235089	       5.297	       0.091	 21.334114	-157.822389                                                                                                       
HI	15026	State House District 26	4986650	482025	       1.925	       0.186	 21.299659	-157.853728                                                                                                        
HI	15027	State House District 27	9989409	3036	       3.857	       0.001	 21.355480	-157.821663                                                                                                          
HI	15028	State House District 28	16974450	0	       6.554	       0.000	 21.358751	-157.843488                                                                                                            
HI	15029	State House District 29	5031629	1199196	       1.943	       0.463	 21.318719	-157.873585                                                                                                       
HI	15030	State House District 30	34745815	82284121	      13.415	      31.770	 21.304416	-157.911808                                                                                                     
HI	15031	State House District 31	21314472	1324650	       8.230	       0.511	 21.340923	-157.904367                                                                                                      
HI	15032	State House District 32	18698854	12390	       7.220	       0.005	 21.375595	-157.860963                                                                                                        
HI	15033	State House District 33	45753189	0	      17.665	       0.000	 21.398826	-157.892160                                                                                                            
HI	15034	State House District 34	38032781	1644532	      14.685	       0.635	 21.431012	-157.904832                                                                                                      
HI	15035	State House District 35	67446637	6687362	      26.041	       2.582	 21.373924	-157.988289                                                                                                      
HI	15036	State House District 36	32496975	0	      12.547	       0.000	 21.479144	-157.954614                                                                                                            
HI	15037	State House District 37	23485246	0	       9.068	       0.000	 21.429006	-158.014803                                                                                                            
HI	15038	State House District 38	4375401	0	       1.689	       0.000	 21.389691	-158.007655                                                                                                             
HI	15039	State House District 39	70918382	1546880	      27.382	       0.597	 21.394285	-158.052147                                                                                                      
HI	15040	State House District 40	21307436	15457064	       8.227	       5.968	 21.322272	-157.995601                                                                                                     
HI	15041	State House District 41	10934785	39327085	       4.222	      15.184	 21.310267	-158.008632                                                                                                     
HI	15042	State House District 42	19332716	0	       7.464	       0.000	 21.338980	-158.063429                                                                                                            
HI	15043	State House District 43	113162149	158031038	      43.692	      61.016	 21.341290	-158.125865                                                                                                   
HI	15044	State House District 44	89662516	131316956	      34.619	      50.702	 21.508717	-158.216126                                                                                                    
HI	15045	State House District 45	165044982	142791047	      63.724	      55.132	 21.563640	-158.185151                                                                                                   
HI	15046	State House District 46	138860028	1338733	      53.614	       0.517	 21.533612	-157.978937                                                                                                     
HI	15047	State House District 47	315124365	327404743	     121.670	     126.412	 21.637513	-157.952367                                                                                                   
HI	15048	State House District 48	40220668	88870188	      15.529	      34.313	 21.463106	-157.806673                                                                                                     
HI	15049	State House District 49	50633551	0	      19.550	       0.000	 21.378588	-157.782801                                                                                                            
HI	15050	State House District 50	22585514	115395265	       8.720	      44.554	 21.471678	-157.718836                                                                                                    
HI	15051	State House District 51	46703044	2642203359	      18.032	    1020.160	 27.784599	-175.860041                                                                                                   
ID	16001	State House District 1	6995074844	278464078	    2700.814	     107.516	 48.533363	-116.572786                                                                                                   
ID	16002	State House District 2	2447555632	125480997	     945.007	      48.448	 47.691736	-116.654109                                                                                                   
ID	16003	State House District 3	718068067	55186113	     277.248	      21.307	 47.560669	-116.925922                                                                                                     
ID	16004	State House District 4	56644157	4512958	      21.870	       1.742	 47.704592	-116.803733                                                                                                       
ID	16005	State House District 5	4798245221	21361026	    1852.613	       8.248	 47.008815	-116.727519                                                                                                    
ID	16006	State House District 6	3436621172	23657454	    1326.887	       9.134	 46.288251	-116.639515                                                                                                    
ID	16007	State House District 7	35914354008	385590240	   13866.610	     148.877	 46.352008	-115.645160                                                                                                  
ID	16008	State House District 8	40427070062	265292834	   15608.980	     102.430	 44.497147	-114.691687                                                                                                  
ID	16009	State House District 9	8618581326	82606368	    3327.653	      31.894	 44.555140	-116.636491                                                                                                    
ID	16010	State House District 10	73477744	408459	      28.370	       0.158	 43.656433	-116.662488                                                                                                       
ID	16011	State House District 11	1047192966	37901846	     404.323	      14.634	 43.589474	-116.696423                                                                                                   
ID	16012	State House District 12	88976543	336479	      34.354	       0.130	 43.603229	-116.561179                                                                                                       
ID	16013	State House District 13	40336676	80159	      15.574	       0.031	 43.555677	-116.561311                                                                                                        
ID	16014	State House District 14	310500398	3483552	     119.885	       1.345	 43.731643	-116.409497                                                                                                     
ID	16015	State House District 15	27914200	147217	      10.778	       0.057	 43.632035	-116.319726                                                                                                       
ID	16016	State House District 16	30832451	822431	      11.904	       0.318	 43.642716	-116.262595                                                                                                       
ID	16017	State House District 17	27931359	198713	      10.784	       0.077	 43.597998	-116.244172                                                                                                       
ID	16018	State House District 18	336471689	8789840	     129.912	       3.394	 43.511678	-116.079041                                                                                                     
ID	16019	State House District 19	247293789	564163	      95.481	       0.218	 43.666850	-116.195618                                                                                                      
ID	16020	State House District 20	39647029	60826	      15.308	       0.023	 43.627622	-116.378370                                                                                                        
ID	16021	State House District 21	64317550	111781	      24.833	       0.043	 43.559604	-116.336364                                                                                                       
ID	16022	State House District 22	1641249602	6246133	     633.690	       2.412	 43.336858	-116.234668                                                                                                    
ID	16023	State House District 23	29394823722	157517249	   11349.405	      60.818	 42.770182	-115.891160                                                                                                 
ID	16024	State House District 24	97802267	636303	      37.762	       0.246	 42.565879	-114.474148                                                                                                       
ID	16025	State House District 25	4847107822	22022358	    1871.479	       8.503	 42.409613	-114.466371                                                                                                   
ID	16026	State House District 26	14629438352	79774001	    5648.458	      30.801	 43.279557	-114.278240                                                                                                  
ID	16027	State House District 27	8605681272	53191915	    3322.672	      20.538	 42.370051	-113.639535                                                                                                   
ID	16028	State House District 28	6226395850	190668522	    2404.025	      73.618	 42.669188	-112.569545                                                                                                  
ID	16029	State House District 29	290613544	644881	     112.207	       0.249	 42.773028	-112.455066                                                                                                      
ID	16030	State House District 30	1024126884	4341803	     395.418	       1.676	 43.507871	-112.232879                                                                                                    
ID	16031	State House District 31	5423378296	68447717	    2093.978	      26.428	 43.216357	-112.399206                                                                                                   
ID	16032	State House District 32	16223292560	377381226	    6263.849	     145.708	 42.698112	-111.675471                                                                                                 
ID	16033	State House District 33	35898250	834760	      13.860	       0.322	 43.489112	-112.032357                                                                                                       
ID	16034	State House District 34	1849893265	18829386	     714.248	       7.270	 43.704109	-111.665096                                                                                                   
ID	16035	State House District 35	18007872288	122294016	    6952.879	      47.218	 44.020580	-112.371616                                                                                                 
IL	17001	State House District 1	21826370	66580	       8.427	       0.026	 41.800421	 -87.717849                                                                                                         
IL	17002	State House District 2	21129258	347698	       8.158	       0.134	 41.836949	 -87.662356                                                                                                        
IL	17003	State House District 3	16746633	0	       6.466	       0.000	 41.929372	 -87.773524                                                                                                             
IL	17004	State House District 4	12219933	65620	       4.718	       0.025	 41.906251	 -87.699601                                                                                                         
IL	17005	State House District 5	18821326	0	       7.267	       0.000	 41.788564	 -87.623024                                                                                                             
IL	17006	State House District 6	25905126	120185	      10.002	       0.046	 41.807638	 -87.651575                                                                                                        
IL	17007	State House District 7	60161931	5057	      23.229	       0.002	 41.865558	 -87.871790                                                                                                          
IL	17008	State House District 8	31278502	24575	      12.077	       0.009	 41.860444	 -87.808648                                                                                                         
IL	17009	State House District 9	24538516	60082	       9.474	       0.023	 41.870213	 -87.681542                                                                                                         
IL	17010	State House District 10	25636524	97303	       9.898	       0.038	 41.891195	 -87.699304                                                                                                        
IL	17011	State House District 11	16078002	0	       6.208	       0.000	 41.939941	 -87.674833                                                                                                            
IL	17012	State House District 12	10453865	429610	       4.036	       0.166	 41.940548	 -87.643859                                                                                                       
IL	17013	State House District 13	13659755	31982	       5.274	       0.012	 41.976692	 -87.680963                                                                                                        
IL	17014	State House District 14	8915145	0	       3.442	       0.000	 42.002327	 -87.668455                                                                                                             
IL	17015	State House District 15	47446368	3027	      18.319	       0.001	 42.022508	 -87.787682                                                                                                         
IL	17016	State House District 16	29080080	0	      11.228	       0.000	 42.016248	 -87.730305                                                                                                            
IL	17017	State House District 17	65317562	87118	      25.219	       0.034	 42.075655	 -87.787859                                                                                                        
IL	17018	State House District 18	67514224	1122541	      26.067	       0.433	 42.095446	 -87.751058                                                                                                      
IL	17019	State House District 19	25241266	0	       9.746	       0.000	 41.963269	 -87.789699                                                                                                            
IL	17020	State House District 20	50294112	187532	      19.419	       0.072	 41.967827	 -87.864376                                                                                                       
IL	17021	State House District 21	40609843	1578401	      15.680	       0.609	 41.813816	 -87.770995                                                                                                      
IL	17022	State House District 22	30120809	0	      11.630	       0.000	 41.776805	 -87.744817                                                                                                            
IL	17023	State House District 23	52566820	505134	      20.296	       0.195	 41.764537	 -87.831727                                                                                                       
IL	17024	State House District 24	19432573	0	       7.503	       0.000	 41.836448	 -87.776778                                                                                                            
IL	17025	State House District 25	27855463	9830558	      10.755	       3.796	 41.711887	 -87.546579                                                                                                      
IL	17026	State House District 26	20102309	6262943	       7.762	       2.418	 41.822699	 -87.601712                                                                                                      
IL	17027	State House District 27	65326915	835008	      25.223	       0.322	 41.673294	 -87.723357                                                                                                       
IL	17028	State House District 28	57120261	993211	      22.054	       0.383	 41.641147	 -87.717080                                                                                                       
IL	17029	State House District 29	191088524	1493250	      73.780	       0.577	 41.456773	 -87.618724                                                                                                     
IL	17030	State House District 30	76087877	308591	      29.378	       0.119	 41.606398	 -87.676498                                                                                                       
IL	17031	State House District 31	56572969	405745	      21.843	       0.157	 41.714265	 -87.795364                                                                                                       
IL	17032	State House District 32	30103716	19247	      11.623	       0.007	 41.747119	 -87.733372                                                                                                        
IL	17033	State House District 33	68346181	2389849	      26.389	       0.923	 41.539242	 -87.545258                                                                                                      
IL	17034	State House District 34	702121918	4618660	     271.091	       1.783	 41.318668	 -87.659921                                                                                                     
IL	17035	State House District 35	81201185	2143012	      31.352	       0.827	 41.619672	 -87.847865                                                                                                      
IL	17036	State House District 36	90473767	3672151	      34.932	       1.418	 41.697614	 -87.818893                                                                                                      
IL	17037	State House District 37	190536654	349928	      73.567	       0.135	 41.539626	 -87.922882                                                                                                      
IL	17038	State House District 38	126122518	523023	      48.696	       0.202	 41.538968	 -87.747364                                                                                                      
IL	17039	State House District 39	13437339	0	       5.188	       0.000	 41.935914	 -87.738995                                                                                                            
IL	17040	State House District 40	13215751	0	       5.103	       0.000	 41.950213	 -87.716206                                                                                                            
IL	17041	State House District 41	91391169	1669539	      35.286	       0.645	 41.756485	 -88.170259                                                                                                      
IL	17042	State House District 42	111198557	3358706	      42.934	       1.297	 41.847704	 -88.138048                                                                                                     
IL	17043	State House District 43	68904570	1759817	      26.604	       0.679	 42.061245	 -88.272016                                                                                                      
IL	17044	State House District 44	71079645	423368	      27.444	       0.163	 42.034519	 -88.165535                                                                                                       
IL	17045	State House District 45	112329608	3842370	      43.371	       1.484	 41.959156	 -88.108702                                                                                                     
IL	17046	State House District 46	73170225	1901873	      28.251	       0.734	 41.914686	 -88.046017                                                                                                      
IL	17047	State House District 47	86713607	1606424	      33.480	       0.620	 41.843935	 -87.948115                                                                                                      
IL	17048	State House District 48	78942057	1562985	      30.480	       0.603	 41.849173	 -88.047732                                                                                                      
IL	17049	State House District 49	204616314	6890446	      79.003	       2.660	 41.896009	 -88.253059                                                                                                     
IL	17050	State House District 50	384462324	3424338	     148.442	       1.322	 41.780575	 -88.424081                                                                                                     
IL	17051	State House District 51	257838387	9740345	      99.552	       3.761	 42.239048	 -88.037464                                                                                                     
IL	17052	State House District 52	282646006	11686167	     109.130	       4.512	 42.175102	 -88.219878                                                                                                    
IL	17053	State House District 53	57275523	206119	      22.114	       0.080	 42.082684	 -87.956829                                                                                                       
IL	17054	State House District 54	95956635	1249029	      37.049	       0.482	 42.107672	 -88.060685                                                                                                      
IL	17055	State House District 55	87575733	1421584	      33.813	       0.549	 42.023670	 -87.936883                                                                                                      
IL	17056	State House District 56	76708570	810072	      29.617	       0.313	 42.017285	 -88.083011                                                                                                       
IL	17057	State House District 57	66104646	324597	      25.523	       0.125	 42.117414	 -87.915566                                                                                                       
IL	17058	State House District 58	137682755	871545	      53.160	       0.337	 42.215119	 -87.844736                                                                                                      
IL	17059	State House District 59	121506300	2675839	      46.914	       1.033	 42.224081	 -87.931091                                                                                                     
IL	17060	State House District 60	76300253	918573	      29.460	       0.355	 42.372263	 -87.861593                                                                                                       
IL	17061	State House District 61	267604854	8569514	     103.323	       3.309	 42.440006	 -87.954379                                                                                                     
IL	17062	State House District 62	117671268	9098761	      45.433	       3.513	 42.336201	 -88.073450                                                                                                     
IL	17063	State House District 63	1106634720	7445216	     427.274	       2.875	 42.351712	 -88.525648                                                                                                    
IL	17064	State House District 64	363131699	41956623	     140.206	      16.200	 42.361436	 -88.230845                                                                                                    
IL	17065	State House District 65	316264787	1531222	     122.111	       0.591	 42.051690	 -88.425648                                                                                                     
IL	17066	State House District 66	176957594	1811004	      68.324	       0.699	 42.161228	 -88.381891                                                                                                     
IL	17067	State House District 67	112865529	1819928	      43.578	       0.703	 42.246696	 -89.086454                                                                                                     
IL	17068	State House District 68	245689824	3023171	      94.861	       1.167	 42.339289	 -89.061446                                                                                                     
IL	17069	State House District 69	945497875	10565821	     365.059	       4.079	 42.345143	 -88.933863                                                                                                    
IL	17070	State House District 70	1562672773	6304919	     603.351	       2.434	 41.999310	 -88.683177                                                                                                    
IL	17071	State House District 71	2257437161	107217195	     871.601	      41.397	 41.721024	 -90.064207                                                                                                  
IL	17072	State House District 72	613483955	42859062	     236.867	      16.548	 41.410418	 -90.742496                                                                                                    
IL	17073	State House District 73	4228650585	88104278	    1632.691	      34.017	 41.010630	 -89.547147                                                                                                   
IL	17074	State House District 74	6884982382	33456259	    2658.307	      12.918	 41.271760	 -90.121132                                                                                                   
IL	17075	State House District 75	2384819419	56684779	     920.784	      21.886	 41.374777	 -88.453542                                                                                                   
IL	17076	State House District 76	2446532328	62109018	     944.611	      23.980	 41.317159	 -89.056650                                                                                                   
IL	17077	State House District 77	94152980	951632	      36.353	       0.367	 41.948218	 -87.925220                                                                                                       
IL	17078	State House District 78	29727663	0	      11.478	       0.000	 41.910483	 -87.813695                                                                                                            
IL	17079	State House District 79	1648703628	14974030	     636.568	       5.782	 41.130907	 -87.938999                                                                                                   
IL	17080	State House District 80	548274678	240932	     211.690	       0.093	 41.413807	 -87.893510                                                                                                      
IL	17081	State House District 81	80933949	1266109	      31.249	       0.489	 41.788419	 -88.003615                                                                                                      
IL	17082	State House District 82	194088891	4436949	      74.938	       1.713	 41.677923	 -87.956808                                                                                                     
IL	17083	State House District 83	61358686	1388716	      23.691	       0.536	 41.778335	 -88.320475                                                                                                      
IL	17084	State House District 84	76095751	1076691	      29.381	       0.416	 41.733563	 -88.254979                                                                                                      
IL	17085	State House District 85	141472149	2755364	      54.623	       1.064	 41.648909	 -88.072966                                                                                                     
IL	17086	State House District 86	297207389	8696770	     114.752	       3.358	 41.458413	 -88.108955                                                                                                     
IL	17087	State House District 87	4025660555	9350569	    1554.316	       3.610	 40.129501	 -89.496211                                                                                                    
IL	17088	State House District 88	1266805668	5231379	     489.116	       2.020	 40.506170	 -89.237063                                                                                                    
IL	17089	State House District 89	5480559588	53950166	    2116.056	      20.830	 42.247214	 -89.812766                                                                                                   
IL	17090	State House District 90	3788985247	22809250	    1462.935	       8.807	 41.835886	 -89.123329                                                                                                   
IL	17091	State House District 91	1628345128	56506948	     628.708	      21.817	 40.564926	 -89.937703                                                                                                   
IL	17092	State House District 92	119410835	4051411	      46.105	       1.564	 40.697428	 -89.628261                                                                                                     
IL	17093	State House District 93	8014163570	113052437	    3094.286	      43.650	 40.299668	 -90.408811                                                                                                  
IL	17094	State House District 94	6050388604	138278477	    2336.068	      53.390	 40.385597	 -91.067472                                                                                                  
IL	17095	State House District 95	4624310946	33062927	    1785.457	      12.766	 39.264409	 -89.555080                                                                                                   
IL	17096	State House District 96	1206477676	24152778	     465.824	       9.325	 39.718602	 -89.282594                                                                                                   
IL	17097	State House District 97	204190417	5912095	      78.838	       2.283	 41.616165	 -88.250337                                                                                                     
IL	17098	State House District 98	90876014	455827	      35.087	       0.176	 41.611838	 -88.150361                                                                                                       
IL	17099	State House District 99	1160761069	10943739	     448.172	       4.225	 39.719385	 -89.783021                                                                                                   
IL	17100	State House District 100	8369526765	164201464	    3231.492	      63.399	 39.468447	 -90.458495                                                                                                 
IL	17101	State House District 101	4554416542	30402893	    1758.470	      11.739	 40.135229	 -88.716487                                                                                                  
