id,name,validFrom
ocd-division/country:dk,Denmark,
ocd-division/country:dk/election_province:hovedstaden,A. Hovedstaden,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark,B. Sjælland-Syddanmark,2007-01-01
ocd-division/country:dk/election_province:midtjylland-nordjylland,C. Midtjylland-Nordjylland,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds,1. Københavns Storkreds,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_omegns_storkreds,2. Københavns Omegns Storkreds,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:nordsjaellands_storkreds,3. Nordsjællands storkreds,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:bornholms_storkreds,4. Bornholms Storkreds,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:sjaellands_storkreds,5. Sjællands Storkreds,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:fyns_storkreds,6. Fyns Storkreds,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:sydjyllands_storkreds,7. Sydjyllands Storkreds,2007-01-01
ocd-division/country:dk/election_province:midtjylland-nordjylland/ed:oestjyllands_storkreds,8. Østjyllands Storkreds,2007-01-01
ocd-division/country:dk/election_province:midtjylland-nordjylland/ed:vestjyllands_storkreds,9. Vestjyllands Storkreds,2007-01-01
ocd-division/country:dk/election_province:midtjylland-nordjylland/ed:nordjyllands_storkreds,10. Nordjyllands Storkreds,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds/nomination_district:oesterbrokredsen,1. Østerbrokredsen,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds/nomination_district:sundbyvesterkredsen,2. Sundbyvesterkredsen,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds/nomination_district:indre_bykredsen,3. Indre Bykredsen,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds/nomination_district:sundbyoesterkredsen,4. Sundbyøsterkredsen,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds/nomination_district:noerrebrokredsen,5. Nørrebrokredsen,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds/nomination_district:bispebjergkredsen,6. Bispebjergkredsen,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds/nomination_district:broenshoejkredsen,7. Brønshøjkredsen,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds/nomination_district:valbykredsen,8. Valbykredsen,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds/nomination_district:vesterbrokredsen,9. Vesterbrokredsen,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds/nomination_district:falkonerkredsen,10. Falkonerkredsen,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds/nomination_district:slotskredsen,11. Slotskredsen,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds/nomination_district:taarnbykredsen,12. Tårnbykredsen,2007-01-01
